id;badge;badge_type;count
6b789981-140c-40ce-8cdb-7d62d5f988ce;Licensed;LABEL;23371
1256dd49-d8d8-40ad-ae69-8785cf415aa5;Stand-alone Borders Auto;ICON;57121
1bf0bcbc-841c-4cb2-a2a4-b0539c12dcbe;hardware African;ICON;20345
89d3568d-2108-4e35-8670-eee141796974;relationships Investment;TEXT;48733
5083a129-80a4-496c-804e-c29be6b2c242;feed Refined Hat;TEXT;4182
677dbad6-259f-49a8-9926-b1dd1e1f9c66;calculate;LABEL;39483
9afbe46c-1d50-4620-ac1c-41eeff6c9179;Shirt;COUNTER;30986
e82a84a1-d149-45a7-97be-8a560a960f0e;deposit navigate Faso;COUNTER;61086
c79d380d-6882-4745-ba34-b1f6b09f99a8;system-worthy Rubber;ICON;56296
a2295a85-dd64-42da-a272-0ed4ad86d524;payment envisioneer Yemen;ICON;99974
